benchmark,exec_policy,number_GPU,gpu_result,total_time_sec,overhead_sec,computation_sec,speedup,baseline_time
VEC,SYNC,1,,,,,,
VEC,SYNC,2,,,,,,
VEC,SYNC,4,,,,,,
VEC,ASYNC,1,,,,,,
VEC,ASYNC,2,,,,,,
VEC,ASYNC,4,,,,,,
B&S,SYNC,1,,,,,,
B&S,SYNC,2,,,,,,
B&S,SYNC,4,,,,,,
B&S,ASYNC,1,,,,,,
B&S,ASYNC,2,,,,,,
B&S,ASYNC,4,,,,,,
ML,SYNC,1,,,,,,
ML,SYNC,2,,,,,,
ML,SYNC,4,,,,,,
ML,ASYNC,1,,,,,,
ML,ASYNC,2,,,,,,
ML,ASYNC,4,,,,,,
CG,SYNC,1,,,,,,
CG,SYNC,2,,,,,,
CG,SYNC,4,,,,,,
CG,ASYNC,1,,,,,,
CG,ASYNC,2,,,,,,
CG,ASYNC,4,,,,,,
MUL,SYNC,1,,,,,,
MUL,SYNC,2,,,,,,
MUL,SYNC,4,,,,,,
MUL,ASYNC,1,,,,,,
MUL,ASYNC,2,,,,,,
MUL,ASYNC,4,,,,,,
